GEO_ID,NAME,S1903_C03_001E,,
Geography,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,80% AMI,120%AMI
1400000US37023020901,Census Tract 209.01; Burke County; North Carolina,60871,48696.8,73045.2
1400000US37023020902,Census Tract 209.02; Burke County; North Carolina,65817,52653.6,78980.4
1400000US37023021000,Census Tract 210; Burke County; North Carolina,48970,39176,58764
1400000US37023021100,Census Tract 211; Burke County; North Carolina,59545,47636,71454
1400000US37023021201,Census Tract 212.01; Burke County; North Carolina,70921,56736.8,85105.2
1400000US37023021202,Census Tract 212.02; Burke County; North Carolina,52906,42324.8,63487.2
1400000US37023021203,Census Tract 212.03; Burke County; North Carolina,46616,37292.8,55939.2
1400000US37023021301,Census Tract 213.01; Burke County; North Carolina,52771,42216.8,63325.2
1400000US37023021302,Census Tract 213.02; Burke County; North Carolina,57604,46083.2,69124.8
1400000US37023021400,Census Tract 214; Burke County; North Carolina,44960,35968,53952
1400000US37025040501,Census Tract 405.01; Cabarrus County; North Carolina,84649,67719.2,101578.8
1400000US37025040502,Census Tract 405.02; Cabarrus County; North Carolina,66147,52917.6,79376.4
1400000US37025040600,Census Tract 406; Cabarrus County; North Carolina,68871,55096.8,82645.2
1400000US37025040701,Census Tract 407.01; Cabarrus County; North Carolina,47414,37931.2,56896.8
1400000US37025040703,Census Tract 407.03; Cabarrus County; North Carolina,38803,31042.4,46563.6
1400000US37025040704,Census Tract 407.04; Cabarrus County; North Carolina,56000,44800,67200
1400000US37025040705,Census Tract 407.05; Cabarrus County; North Carolina,71344,57075.2,85612.8
1400000US37025040800,Census Tract 408; Cabarrus County; North Carolina,49273,39418.4,59127.6
1400000US37025040900,Census Tract 409; Cabarrus County; North Carolina,67292,53833.6,80750.4
1400000US37025041001,Census Tract 410.01; Cabarrus County; North Carolina,68718,54974.4,82461.6
1400000US37025041002,Census Tract 410.02; Cabarrus County; North Carolina,40053,32042.4,48063.6
1400000US37025041100,Census Tract 411; Cabarrus County; North Carolina,77271,61816.8,92725.2
1400000US37025041201,Census Tract 412.01; Cabarrus County; North Carolina,51701,41360.8,62041.2
1400000US37025041202,Census Tract 412.02; Cabarrus County; North Carolina,93628,74902.4,112353.6
1400000US37025041301,Census Tract 413.01; Cabarrus County; North Carolina,122845,98276,147414
1400000US37025041304,Census Tract 413.04; Cabarrus County; North Carolina,126316,101052.8,151579.2
1400000US37025041305,Census Tract 413.05; Cabarrus County; North Carolina,102040,81632,122448
1400000US37025041306,Census Tract 413.06; Cabarrus County; North Carolina,114013,91210.4,136815.6
1400000US37025041307,Census Tract 413.07; Cabarrus County; North Carolina,180180,144144,216216
1400000US37025041503,Census Tract 415.03; Cabarrus County; North Carolina,98293,78634.4,117951.6
1400000US37025041504,Census Tract 415.04; Cabarrus County; North Carolina,133088,106470.4,159705.6
1400000US37025041505,Census Tract 415.05; Cabarrus County; North Carolina,151453,121162.4,181743.6
1400000US37025041506,Census Tract 415.06; Cabarrus County; North Carolina,131489,105191.2,157786.8
1400000US37025041507,Census Tract 415.07; Cabarrus County; North Carolina,128944,103155.2,154732.8
1400000US37025041602,Census Tract 416.02; Cabarrus County; North Carolina,62105,49684,74526
1400000US37025041603,Census Tract 416.03; Cabarrus County; North Carolina,97083,77666.4,116499.6
1400000US37025041604,Census Tract 416.04; Cabarrus County; North Carolina,119324,95459.2,143188.8
1400000US37025041701,Census Tract 417.01; Cabarrus County; North Carolina,75809,60647.2,90970.8
1400000US37025041702,Census Tract 417.02; Cabarrus County; North Carolina,77390,61912,92868
1400000US37025041901,Census Tract 419.01; Cabarrus County; North Carolina,42306,33844.8,50767.2
1400000US37025041902,Census Tract 419.02; Cabarrus County; North Carolina,43906,35124.8,52687.2
1400000US37025042000,Census Tract 420; Cabarrus County; North Carolina,62250,49800,74700
1400000US37025042101,Census Tract 421.01; Cabarrus County; North Carolina,46860,37488,56232
1400000US37025042102,Census Tract 421.02; Cabarrus County; North Carolina,55688,44550.4,66825.6
1400000US37025042201,Census Tract 422.01; Cabarrus County; North Carolina,64167,51333.6,77000.4
1400000US37025042202,Census Tract 422.02; Cabarrus County; North Carolina,95573,76458.4,114687.6
1400000US37025042300,Census Tract 423; Cabarrus County; North Carolina,57020,45616,68424
1400000US37025042401,Census Tract 424.01; Cabarrus County; North Carolina,119359,95487.2,143230.8
1400000US37025042402,Census Tract 424.02; Cabarrus County; North Carolina,37875,30300,45450
1400000US37025042501,Census Tract 425.01; Cabarrus County; North Carolina,89440,71552,107328
1400000US37025042502,Census Tract 425.02; Cabarrus County; North Carolina,72813,58250.4,87375.6
1400000US37025042503,Census Tract 425.03; Cabarrus County; North Carolina,92982,74385.6,111578.4
1400000US37025042504,Census Tract 425.04; Cabarrus County; North Carolina,140806,112644.8,168967.2
1400000US37025042601,Census Tract 426.01; Cabarrus County; North Carolina,118469,94775.2,142162.8
1400000US37025042602,Census Tract 426.02; Cabarrus County; North Carolina,79014,63211.2,94816.8
1400000US37025042603,Census Tract 426.03; Cabarrus County; North Carolina,91092,72873.6,109310.4
1400000US37025042604,Census Tract 426.04; Cabarrus County; North Carolina,86250,69000,103500
1400000US37027030100,Census Tract 301; Caldwell County; North Carolina,29892,23913.6,35870.4
1400000US37027030200,Census Tract 302; Caldwell County; North Carolina,46969,37575.2,56362.8
1400000US37027030300,Census Tract 303; Caldwell County; North Carolina,43652,34921.6,52382.4
1400000US37027030400,Census Tract 304; Caldwell County; North Carolina,39107,31285.6,46928.4
1400000US37027030500,Census Tract 305; Caldwell County; North Carolina,72851,58280.8,87421.2
1400000US37027030600,Census Tract 306; Caldwell County; North Carolina,60710,48568,72852
1400000US37027030700,Census Tract 307; Caldwell County; North Carolina,47072,37657.6,56486.4
1400000US37027030801,Census Tract 308.01; Caldwell County; North Carolina,60288,48230.4,72345.6
1400000US37027030802,Census Tract 308.02; Caldwell County; North Carolina,37026,29620.8,44431.2
1400000US37027030900,Census Tract 309; Caldwell County; North Carolina,57813,46250.4,69375.6
1400000US37027031000,Census Tract 310; Caldwell County; North Carolina,49342,39473.6,59210.4
