GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,Median Household Income ,80% AMI ,120% AMI ,TimeFrame,GeoVintage,Source,Location
Census Tract,37021001601,NC,37021001601,37021001601,"98,438.00","78,750.40","118,125.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021001602,NC,37021001602,37021001602,"65,268.00","52,214.40","78,321.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021001700,NC,37021001700,37021001700,"109,091.00","87,272.80","130,909.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021001801,NC,37021001801,37021001801,"42,800.00","34,240.00","51,360.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021001802,NC,37021001802,37021001802,"98,971.00","79,176.80","118,765.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021001900,NC,37021001900,37021001900,"48,732.00","38,985.60","58,478.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002000,NC,37021002000,37021002000,"57,155.00","45,724.00","68,586.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002101,NC,37021002101,37021002101,"173,036.00","138,428.80","207,643.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002102,NC,37021002102,37021002102,"53,894.00","43,115.20","64,672.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002203,NC,37021002203,37021002203,"40,909.00","32,727.20","49,090.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002204,NC,37021002204,37021002204,"70,551.00","56,440.80","84,661.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002205,NC,37021002205,37021002205,"84,779.00","67,823.20","101,734.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002206,NC,37021002206,37021002206,"80,988.00","64,790.40","97,185.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002303,NC,37021002303,37021002303,"84,715.00","67,772.00","101,658.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002304,NC,37021002304,37021002304,"142,917.00","114,333.60","171,500.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002305,NC,37021002305,37021002305,"80,020.00","64,016.00","96,024.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002306,NC,37021002306,37021002306,"62,310.00","49,848.00","74,772.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002401,NC,37021002401,37021002401,"49,539.00","39,631.20","59,446.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002402,NC,37021002402,37021002402,"53,885.00","43,108.00","64,662.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002503,NC,37021002503,37021002503,"50,804.00","40,643.20","60,964.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002504,NC,37021002504,37021002504,"65,156.00","52,124.80","78,187.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002505,NC,37021002505,37021002505,"78,929.00","63,143.20","94,714.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002506,NC,37021002506,37021002506,"50,729.00","40,583.20","60,874.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002603,NC,37021002603,37021002603,"46,008.00","36,806.40","55,209.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002604,NC,37021002604,37021002604,"71,733.00","57,386.40","86,079.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002606,NC,37021002606,37021002606,"49,688.00","39,750.40","59,625.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002607,NC,37021002607,37021002607,"67,661.00","54,128.80","81,193.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002608,NC,37021002608,37021002608,"58,766.00","47,012.80","70,519.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002609,NC,37021002609,37021002609,"69,531.00","55,624.80","83,437.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002701,NC,37021002701,37021002701,"72,571.00","58,056.80","87,085.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002702,NC,37021002702,37021002702,"70,240.00","56,192.00","84,288.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002704,NC,37021002704,37021002704,"80,000.00","64,000.00","96,000.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002705,NC,37021002705,37021002705,"84,444.00","67,555.20","101,332.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002803,NC,37021002803,37021002803,"65,714.00","52,571.20","78,856.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002804,NC,37021002804,37021002804,"68,719.00","54,975.20","82,462.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021002900,NC,37021002900,37021002900,"62,823.00","50,258.40","75,387.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003002,NC,37021003002,37021003002,"70,055.00","56,044.00","84,066.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003003,NC,37021003003,37021003003,"58,021.00","46,416.80","69,625.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003004,NC,37021003004,37021003004,"67,763.00","54,210.40","81,315.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003103,NC,37021003103,37021003103,"72,639.00","58,111.20","87,166.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003105,NC,37021003105,37021003105,"74,904.00","59,923.20","89,884.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003106,NC,37021003106,37021003106,"61,818.00","49,454.40","74,181.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003107,NC,37021003107,37021003107,"81,136.00","64,908.80","97,363.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003108,NC,37021003108,37021003108,N/A,#VALUE!,#VALUE!,2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003201,NC,37021003201,37021003201,"84,338.00","67,470.40","101,205.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003202,NC,37021003202,37021003202,"93,523.00","74,818.40","112,227.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003203,NC,37021003203,37021003203,"73,958.00","59,166.40","88,749.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003204,NC,37021003204,37021003204,"72,984.00","58,387.20","87,580.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021003205,NC,37021003205,37021003205,"34,063.00","27,250.40","40,875.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37023020100,NC,37023020100,37023020100,"45,750.00","36,600.00","54,900.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37023020202,NC,37023020202,37023020202,"54,705.00","43,764.00","65,646.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37023020203,NC,37023020203,37023020203,"90,471.00","72,376.80","108,565.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37023020204,NC,37023020204,37023020204,"70,581.00","56,464.80","84,697.20",2018-2022,2022,Census,North Carolina (State)
